TableName,ColumnName,Description,PK,DataType,Length,DefaultValue,Nullable,ForeignTable,ForeignCol
nmramStructArea                                   ,Area7                                                                      ,Total % of project area for structural type 7 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
PhotoLog                                          ,BackDesc                                                                   ,Background descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Comment                                                                    ,Additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Crew                                                                       ,Crew intials of who took the photos,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,DateTime                                                                   ,Date the photo was taken,FALSE,Date/Time                ,8,                                                  ,TRUE,,
PhotoLog                                          ,Direction                                                                  ,Direction facing when the photo was taken,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,Distance                                                                   ,Distance from photo target (default in feet),FALSE,Double                   ,8,0,TRUE,,
PhotoLog                                          ,DistanceUnits                                                              ,Default units for distance,FALSE,Text                     ,255,"""Feet""                                            ",TRUE,,
PhotoLog                                          ,EventID                                                                    ,Event ID,FALSE,Text                     ,50,                                                  ,FALSE,,
PhotoLog                                          ,ForeDesc                                                                   ,Foreground descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Lat                                                                        ,Latitude of photo location (dd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,Long                                                                       ,Longitude of the photo location (ddd.ddd),FALSE,Double                   ,8,                                                  ,TRUE,,
PhotoLog                                          ,PhotoID                                                                    ,ID of the photo,TRUE,Text                     ,50,                                                  ,FALSE,,
PhotoLog                                          ,PhotoNum                                                                   ,Photo ID produced by the camera,FALSE,Text                     ,25,                                                  ,TRUE,,
Plot                                              ,AdminUnit                                                                  ,,FALSE,Text                     ,50,                                                  ,TRUE,,
Plot                                              ,Aspect                                                                     ,"Aspect of plot, derived from azimuth",FALSE,Text                     ,1,                                                  ,TRUE,,
Plot                                              ,Azimuth                                                                    ,Azimuth of primary slope in plot,FALSE,Integer                  ,2,0,TRUE,,
Plot                                              ,Comment                                                                    ,Additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
Plot                                              ,CoordX                                                                     ,Decimal degree X coordinates of plot center,FALSE,Double                   ,8,0,TRUE,,
Plot                                              ,CoordY                                                                     ,Decimal degree Y coordinates of plot center,FALSE,Double                   ,8,0,TRUE,,
Plot                                              ,DateCreated                                                                ,Date plot created,FALSE,Date/Time                ,8,Now()                                             ,TRUE,,
Plot                                              ,Elevation                                                                  ,Elevation of plot,FALSE,Integer                  ,2,                                                  ,TRUE,,
Plot                                              ,ElevationUnits                                                             ,Units for elevation; defaults to feet,FALSE,Text                     ,10,"""Feet""                                            ",TRUE,,
Plot                                              ,MacroPlot                                                                  ,Macro plot size (outer plot) in acres,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,MicroPlot                                                                  ,Micro plot size (inner plot) in acress,FALSE,Double                   ,8,                                                  ,TRUE,,
Plot                                              ,Orient16                                                                   ,Orientation of short side of plot (if BEMP),FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,Orient98                                                                   ,Orientation of long side of plot (if BEMP),FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,PlotID                                                                     ,Plot ID,TRUE,Text                     ,50,                                                  ,FALSE,,
Plot                                              ,PlotName                                                                   ,Name of the plot,FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,PlotType                                                                   ,"what type of plot this is (BEMP, Fuels)",FALSE,Text                     ,255,                                                  ,TRUE,,
Plot                                              ,ProjectID                                                                  ,GRGWA project ID,FALSE,Text                     ,50,                                                  ,TRUE,,
Plot                                              ,Slope                                                                      ,Slope angle of primary plot direction,FALSE,Integer                  ,2,0,TRUE,,
Project                                           ,Comment                                                                    ,Any additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
Project                                           ,Community                                                                  ,nearest town/area,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,County                                                                     ,county where project is located,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,DateCreated                                                                ,Date the project entry was created,FALSE,Date/Time                ,8,Now()                                             ,TRUE,,
Project                                           ,Description                                                                ,Brief description of the project,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,Owner                                                                      ,specify owner,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,OwnershipType                                                              ,"Tribal, Private, etc.",FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,ProjectID                                                                  ,Standard project ID,TRUE,Text                     ,255,                                                  ,FALSE,,
Project                                           ,ProjectName                                                                ,Name of the project,FALSE,Text                     ,255,                                                  ,TRUE,,
Project                                           ,SWCD                                                                       ,Sponsor (soil and water conservation district),FALSE,Text                     ,255,                                                  ,TRUE,,
ProjectComment                                    ,AccessConcerns                                                             ,briefly describe any site access concerns,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectComment                                    ,Assessment                                                                 ,Could treatment of the project have been done better? How?,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectComment                                    ,CommentsNotes                                                              ,other comments or notes,FALSE,Memo                     ,0,                                                  ,TRUE,,
ProjectComment                                    ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
SiteType                                          ,Acres                                                                      ,,FALSE,Single                   ,4,0,TRUE,,
SiteType                                          ,ESName                                                                     ,,FALSE,Text                     ,255,                                                  ,TRUE,,
SiteType                                          ,ProjectID                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
SiteType                                          ,ProjPercent                                                                ,,FALSE,Single                   ,4,0,TRUE,,
SiteType                                          ,SiteType                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Soils                                             ,Aspect                                                                     ,Aspect at which soil was collected,TRUE,Text                     ,255,                                                  ,FALSE,,
Soils                                             ,EventID                                                                    ,Event ID,TRUE,Text                     ,255,                                                  ,FALSE,,
Soils                                             ,SoilType                                                                   ,Soil Texture type,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,BaseSymbol                                                                 ,USDA symbol (one:many relationship),FALSE,Text                     ,7,                                                  ,TRUE,,
Species                                           ,CommonName                                                                 ,State Common Name,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Family                                                                     ,Latin family of plant,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,SciName                                                                    ,Scientific Name with Author,FALSE,Text                     ,255,                                                  ,TRUE,,
Species                                           ,Symbol                                                                     ,Used USDA symbol,TRUE,Text                     ,7,                                                  ,FALSE,,
Species                                           ,SynSymbol                                                                  ,USDA synonym (used for subspecies and variations),FALSE,Text                     ,7,                                                  ,TRUE,,
StructClass                                       ,EventID                                                                    ,EventID,TRUE,Text                     ,255,                                                  ,FALSE,,
StructClass                                       ,Modified                                                                   ,H & O modified dominant structure class,FALSE,Text                     ,255,                                                  ,TRUE,,
StructClass                                       ,Original                                                                   ,H & O original dominant structure class,FALSE,Text                     ,255,                                                  ,TRUE,,
Transect                                          ,Azimuth                                                                    ,Transect Azimuth,FALSE,Integer                  ,4,0,TRUE,,
Transect                                          ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
Transect                                          ,Length                                                                     ,Transect length (defaults to 75),FALSE,Double                   ,8,75,TRUE,,
Transect                                          ,Slope                                                                      ,Slope along transect,FALSE,Integer                  ,4,0,TRUE,,
Transect                                          ,Transect                                                                   ,Transect Number,TRUE,Integer                  ,2,0,FALSE,,
Treatments                                        ,AcresPlanned                                                               ,how many acres were planned for treatment,FALSE,Text                     ,255,                                                  ,TRUE,,
Treatments                                        ,AcresTreated                                                               ,how many acres were successfully treated,FALSE,Text                     ,255,                                                  ,TRUE,,
Treatments                                        ,AvgMasticationDepth                                                        ,inches of average mastication depth from inspection report,FALSE,Text                     ,255,                                                  ,TRUE,,
Treatments                                        ,AvgPercentMastication                                                      ,average percent mastication ground cover from inspection report,FALSE,Text                     ,255,                                                  ,TRUE,,
Treatments                                        ,ChemAdherencetoGuidelines                                                  ,were chemical guidelines adhered to during treatment?,FALSE,Yes/No                   ,1,No                                                ,TRUE,,
Treatments                                        ,ChemComments                                                               ,comments on chemical use during treatment?,FALSE,Memo                     ,0,                                                  ,TRUE,,
Treatments                                        ,ChemConUsed                                                                ,concentration of chemical used during treatment,FALSE,Text                     ,255,                                                  ,TRUE,,
Treatments                                        ,ChemUsed                                                                   ,chemical used during treatment,FALSE,Text                     ,255,                                                  ,TRUE,,
